dimension numberOfPoints time timeInSeconds
2 1000 0:00.00 0
2 2000 0:00.00 0
2 3000 0:00.00 0
2 4000 0:00.01 0.01
2 5000 0:00.01 0.01
2 6000 0:00.02 0.02
2 7000 0:00.02 0.02
2 8000 0:00.03 0.03
2 9000 0:00.02 0.02
2 10000 0:00.02 0.02

3 1000 0:00.00 0
3 2000 0:00.01 0.01
3 3000 0:00.01 0.01
3 4000 0:00.03 0.03
3 5000 0:00.02 0.02
3 6000 0:00.03 0.03
3 7000 0:00.03 0.03
3 8000 0:00.04 0.04
3 9000 0:00.04 0.04
3 10000 0:00.04 0.04

4 1000 0:00.01 0.01
4 2000 0:00.03 0.03
4 3000 0:00.03 0.03
4 4000 0:00.04 0.04
4 5000 0:00.05 0.05
4 6000 0:00.06 0.06
4 7000 0:00.08 0.08
4 8000 0:00.08 0.08
4 9000 0:00.09 0.09
4 10000 0:00.10 0.1

5 1000 0:00.15 0.15
5 2000 0:00.31 0.31
5 3000 0:00.38 0.38
5 4000 0:00.53 0.53
5 5000 0:00.57 0.57
5 6000 0:00.70 0.7
5 7000 0:00.79 0.79
5 8000 0:00.88 0.88
5 9000 0:00.83 0.83
5 10000 0:01.00 1

6 1000 0:02.89 2.89
6 2000 0:04.94 4.94
6 3000 0:07.76 7.76
6 4000 0:08.82 8.82
6 5000 0:12.85 12.85
6 6000 0:17.85 17.85
6 7000 0:17.89 17.89
6 8000 0:20.16 20.16
6 9000 0:22.47 22.47
6 10000 0:25.89 25.89

7 1000 0:31.77 31.77
7 2000 1:24.21 84.21
7 3000 2:19.81 139.81
7 4000 3:22.62 202.62
7 5000 3:58.94 238.94
7 6000 4:57.54 297.54
7 7000 5:47.07 347.07
7 8000 6:37.77 397.77
7 9000 6:03.24 363.24
7 10000 6:16.96 376.96

8 1000 5:18.41 318.41
8 2000 12:32.72 752.72
8 3000 20:30.58 1230.58
8 4000 28:28.72 1708.72
8 5000 
